child_mort,gdpp
0.4264849074975657,0.0030734282087258643
0.06815968841285297,0.0368334144642022
0.12025316455696201,0.040364993461806456
0.5666991236611489,0.031488321927287656
0.037487828627069134,0.11424180816844678
0.057935735150925025,0.09610667277534385
0.07546251217137293,0.02852943141578139
0.010710808179162605,0.49317068980328155
0.008276533592989287,0.44544664929511596
0.17818889970788704,0.05353682864206016
0.054527750730282376,0.26504977617425
0.02921129503407984,0.1953726770323283
0.22784810126582275,0.005030113869560653
0.05647517039922102,0.15051207895465263
0.014118792599805257,0.05535034218137045
0.009250243427458614,0.42158462904103317
0.07887049659201557,0.03921961648961048
0.5277507302823758,0.005030113869560653
0.19522882181110027,0.018602830990082947
0.21421616358325216,0.016693869369756323
0.020934761441090556,0.04179671467705142
0.24294060370009735,0.05840468077389305
0.08373904576436221,0.10469700006681368
0.03846153846153846,0.3347268753161718
0.03992210321324245,0.06308163674369327
0.5520934761441091,0.0032834139869617925
0.4430379746835442,0.0
0.20350535540408954,0.005297368496406381
0.5131450827653359,0.010298847941662134
0.014605647517039919,0.45021905334593254
0.1163583252190847,0.02938846414492837
0.7127555988315482,0.0020521337418511207
0.7176241480038948,0.006356842195687657
0.0296981499513145,0.12092317383958998
0.06377799415774098,0.04131947427196977
0.07789678675754626,0.057450199963729735
0.4167478091528724,0.005135106758678617
0.5520934761441091,0.000983115234468211
0.29844206426484904,0.02394792352699749
0.03700097370983446,0.0760625757619143
0.5277507302823758,0.009439815212515154
0.014118792599805257,0.12665005870056983
0.0048685491723466385,0.2917752388588228
0.003894839337877312,0.18678234974085847
0.007302823758519957,0.5513940192232436
0.15481986368062314,0.04981435348242324
0.10954235637779941,0.04227395508213308
0.12901655306718596,0.022611650392768856
0.08081791626095422,0.02633412555240577
0.5277507302823758,0.16101136786644907
0.2560856864654333,0.002395746833509913
0.009250243427458614,0.13714934761236627
0.10467380720545277,0.03263369889948363
0.001947419668938655,0.43876528362397277
0.007789678675754625,0.38531435825482735
0.2974683544303797,0.08131222021781254
0.3782862706913339,0.003159331481640562
0.0676728334956183,0.02604778130935678
0.007789678675754625,0.39676812797678707
0.3510223953261928,0.010298847941662134
0.00632911392405063,0.2545504872624536
0.05842259006815968,0.06814038503755881
0.15968841285296978,0.024806956256144472
0.5180136319376826,0.00398018497838101
0.5423563777994158,0.0030161593601160655
0.1703992210321324,0.026811365957487426
0.9999999999999999,0.004113812291803873
0.016553067185978577,0.12283213545991659
0.0,0.39772260878695037
0.27361246348588114,0.010680640265727459
0.14946445959104182,0.027479502524601747
0.08130477117818889,0.060122746232187003
0.16699123661148974,0.04074678578587178
0.007789678675754625,0.46262730387805556
0.009737098344693279,0.2898662772384962
0.006815968841285295,0.33949927936698837
0.07546251217137293,0.04246485124416574
0.0029211295034079834,0.42253910985119647
0.09006815968841285,0.03292004314253262
0.0920155793573515,0.08436655881033511
0.29016553067185974,0.007024978762801974
0.2925998052580331,0.012016913399956095
0.03992210321324245,0.3652702612413978
0.13145082765335928,0.006194580457959894
0.37147030185004865,0.008676230564384504
0.025316455696202528,0.10565148087697698
0.037487828627069134,0.08236214910899217
0.47273612463485876,0.008962574807433498
0.4221032132424537,0.0009163015777567795
0.06815968841285297,0.11328732735828348
0.017039922103213236,0.11233284654812015
0.0009737098344693267,1.0
0.0379746835443038,0.0411285781099371
0.29016553067185974,0.0017371550744972276
0.42794547224926965,0.002176216247172351
0.025803310613437193,0.08436655881033511
0.051606621226874386,0.06556328685011789
0.6543330087633885,0.004552873464478997
0.02044790652385589,0.19919060027298152
0.4615384615384615,0.009248919050482491
0.06037000973709834,0.07415361414158769
0.18208373904576433,0.025093300499193467
0.07108081791626095,0.01335318653418473
0.11441090555014606,0.023088890797850512
0.02044790652385589,0.061554467447431975
0.15043816942551116,0.024806956256144472
0.47906523855890937,0.0017944239231070264
0.3008763388510224,0.007225419732936269
0.2599805258033106,0.04733270337599863
0.21616358325219082,0.0034456757246895554
0.009250243427458614,0.47789899684066856
0.017526777020447908,0.3194551823535588
0.5861733203505355,0.001116742547891075
0.620253164556962,0.020034552205327915
0.0029211295034079834,0.8358293006519105
0.044303797468354424,0.18200994569004192
0.43573515092502424,0.007721749754221192
0.08325219084712754,0.07491719878971834
0.10467380720545277,0.02862487949679772
0.08617332035053554,0.045710085998721
0.14264849074975655,0.01812559058500129
0.016553067185978577,0.11805973140910003
0.00632911392405063,0.2125533316152679
0.031158714703018495,0.668795158873331
0.0433300876338851,0.0763489200049633
0.03602726387536514,0.0999245960159971
0.29698149951314506,0.003168876289742195
0.07935735150925023,0.030724737279157005
0.06377799415774098,0.18200994569004192
0.3125608568646543,0.007339957430155867
0.024342745861733198,0.04943256115835792
0.05744888023369035,0.10087907682616043
0.7663096397273612,0.0016035277610743637
0.0009737098344693267,0.44258320686462604
0.02142161635832522,0.15623896381563251
0.0029211295034079834,0.2211436589067377
0.12414800389483933,0.01010795177962947
0.2487828627069133,0.06728135230841184
0.007302823758519957,0.20873540837461466
0.005842259006815965,0.2908207580486595
0.041869522882181105,0.02461606009411181
0.08812074001947419,0.057259303801697074
0.36075949367088606,0.011921465318939764
0.10467380720545277,0.07701705657207764
0.001947419668938655,0.49507965142360816
0.009250243427458614,0.7098378337103534
0.2424537487828627,0.004839217707527991
0.3373904576436222,0.004495604615869199
0.05988315481986367,0.04628277448481899
0.2921129503407984,0.03215645849440197
0.42697176241480034,0.0024530156821197116
0.07205452775073026,0.03167921808932032
0.07205452775073026,0.03731065486928386
0.08033106134371958,0.0999245960159971
0.2891918208373904,0.04017409729977379
0.3816942551119766,0.003474310148994455
0.044303797468354424,0.02614322939037311
0.02921129503407984,0.3318634328856819
0.012658227848101266,0.36908818448205105
0.02288218111002921,0.45976386144756565
0.03894839337877312,0.11137836573795684
0.16407010710808176,0.010966984508776452
0.12950340798442062,0.02614322939037311
0.07059396299902629,0.12665005870056983
0.10077896786757545,0.010298847941662134
0.2614410905550146,0.010298847941662134
0.3919182083739045,0.011730569156907102
