Cluster,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
-1,60.38108108108108,51.11375675675676,7.142972972972974,57.97745675675676,20306.135135135137,13.178675675675676,66.74864864864864,3.580810810810811,16568.837837837837
0,92.516,23.3484,5.800800000000001,37.164,1939.04,8.6002,59.52,5.4192,788.92
1,21.214102564102564,40.74974358974359,6.419102564102564,47.02820512820512,12903.589743589744,6.253384615384616,72.92179487179487,2.1588461538461536,7395.4358974358975
2,4.1684210526315795,41.352631578947374,10.278947368421052,39.43157894736842,38384.21052631579,1.128736842105263,80.90526315789474,1.7484210526315789,42273.68421052631
3,13.15,62.6,3.9775,41.8,40350.0,13.61,75.82499999999999,2.6075,17850.0
4,10.65,67.05000000000001,2.735,29.2,77900.0,13.95,77.65,2.025,36900.0
5,18.15,20.8,5.77,56.7,5190.0,2.7,70.7,4.125,3500.0
